ax1,ay1,az1
9.74481,0.117378,0.0958191
9.76157,0.0862372,0.114983
9.75439,0.112587,0.107797
9.75439,0.107797,0.0958191
9.77355,0.12696,0.110192
9.76876,0.117378,0.105401
9.73043,0.0934237,0.114983
9.77595,0.105401,0.122169
9.77116,0.117378,0.110192
9.76157,0.0862372,0.129356
9.77595,0.117378,0.0886327
9.77834,0.141333,0.0862372
9.77834,0.0862372,0.150915
9.75678,0.0982146,0.0982146
9.7496,0.0862372,0.134147
9.73762,0.0838417,0.122169
9.76876,0.0862372,0.0886327
9.77595,0.114983,0.0790508
9.7472,0.0862372,0.129356
9.7472,0.114983,0.112587
9.7496,0.107797,0.146124
9.75678,0.119774,0.124565
9.72325,0.114983,0.114983
9.7472,0.122169,0.0982146
9.74481,0.0862372,0.0958191
9.76876,0.0790508,0.105401
9.76157,0.0886327,0.103006
9.76637,0.136542,0.117378
9.74241,0.114983,0.110192
9.76876,0.103006,0.134147
9.77595,0.059887,0.143729
9.77355,0.0982146,0.131751
9.77834,0.107797,0.117378
9.76157,0.117378,0.12696
9.73762,0.0958191,0.0958191
9.75678,0.131751,0.0814463
9.76397,0.0958191,0.150915
9.77834,0.0766553,0.134147
9.79751,0.117378,0.141333
9.78793,0.0838417,0.117378
9.77834,0.0838417,0.138938
9.73283,0.0958191,0.122169
9.75439,0.107797,0.12696
9.77595,0.105401,0.0766553
9.79032,0.110192,0.129356
9.74481,0.0886327,0.110192
9.8023,0.0934237,0.12696
9.75678,0.112587,0.146124
9.76637,0.112587,0.0958191
9.80709,0.12696,0.129356
9.78074,0.0982146,0.143729
9.7472,0.105401,0.138938
9.79751,0.119774,0.0814463
9.75918,0.110192,0.143729
9.72804,0.198825,0.170079
9.75678,0.12696,0.12696
9.7496,0.103006,0.134147
9.77834,0.0622824,0.110192
9.7496,0.0958191,0.122169
9.7496,0.117378,0.110192
9.77355,0.0742598,0.0958191
9.76157,0.105401,0.138938
9.77355,0.138938,0.0958191
9.77355,0.160497,0.0790508
9.71846,0.107797,0.12696
9.74481,0.0646779,0.103006
9.7496,0.0718644,0.0886327
9.72564,0.146124,0.153311
9.73762,0.0838417,0.124565
9.78553,0.131751,0.0359322
9.6418,0.0838417,0.150915
9.81428,0.112587,0.103006
9.72325,0.146124,0.172474
9.75918,0.143729,0.0287457
9.72085,0.0670734,0.179661
9.7999,0.0622824,0.194034
9.9077,0.0263503,0.110192
9.85021,0.0383277,0.0167683
9.98435,0.0814463,-0.340158
9.82625,0.0718644,-0.0694689
9.6442,0.119774,0.0574915
9.70169,0.117378,0.0622824
9.92447,0.186847,0.114983
10.7222,-0.0622824,1.22169
9.82625,0.143729,0.0239548
9.78074,0.117378,0.153311
9.5891,0.182056,0.313808
9.78793,0.143729,0.141333
9.68252,0.186847,0.114983
9.91968,0.311412,-0.0407231
9.78553,0.229966,0.129356
9.86937,0.14852,0.0287457
9.55796,0.059887,1.08515
9.78553,0.170079,0.0263503
9.7496,0.0622824,0.112587
9.8526,0.112587,0.0958191
9.71127,0.124565,0.0766553
9.81428,0.186847,0.124565
9.82146,0.0119774,0.0838417
9.73283,0.00958191,0.00718644
9.13875,0.155706,1.47561
9.61785,-0.0143729,0.378486
9.75918,0.0622824,0.0694689
9.69211,-0.0359322,0.155706
9.77595,0.150915,0.0838417
9.73043,0.0934237,0.186847
9.75678,0.182056,-0.0239548
9.78553,0.107797,-0.103006
9.82386,0.0646779,0.0838417
9.77355,0.131751,0.0958191
9.73762,0.117378,0.110192
9.77116,0.119774,0.114983
9.77834,0.153311,0.0862372
9.77595,0.122169,0.114983
9.81188,0.134147,0.122169
9.78074,0.0934237,0.0287457
9.76157,0.0958191,0.122169
9.76397,0.0742598,0.134147
9.75918,0.131751,0.0239548
9.7496,0.0886327,0.122169
9.76637,0.103006,0.0934237
9.77595,0.105401,0.110192
9.77595,0.0622824,0.150915
9.79032,0.131751,0.0694689
9.7496,0.0479096,0.112587
9.7496,0.146124,0.0742598
9.78793,0.143729,0.055096
9.79511,0.110192,0.122169
9.77355,0.107797,0.117378
9.95321,-0.0191638,-0.0119774
9.75678,0.10061,0.0838417
9.76157,0.107797,0.0287457
9.75678,0.265898,-0.0263503
9.50526,-0.050305,0.24913
9.77355,-0.134147,-0.0455141
9.94363,0.215593,0.165288
10.2023,0.20122,0.210802
9.99633,0.0670734,0.768949
10.0442,-0.294644,1.28877
10.9857,-0.273085,1.66246
10.0969,-0.527005,1.92596
10.4539,-0.898304,1.87087
10.3485,-0.986937,1.54987
10.4155,-0.893514,1.91638
10.1952,-1.19534,2.07928
10.0395,-1.3223,2.19426
10.2311,-1.63851,2.12
9.80469,-1.9068,2.07928
9.7496,-1.71277,2.2757
9.4286,-1.70319,1.91399
9.40225,-1.83254,1.75109
9.13636,-1.76786,1.57622
9.19624,-1.81098,1.08755
9.24894,-1.46364,0.778531
9.28967,-1.67683,0.723435
9.25613,-1.5379,0.340158
9.11719,-1.19534,0.206011
9.14594,-1.66965,0.630011
9.30643,-1.55227,-0.0670734
9.38309,-1.71277,-0.273085
9.3783,-1.48041,-0.658757
9.26571,-1.19055,-0.94861
9.35913,-1.65528,-0.701875
9.36393,-1.40375,-1.12108
9.70887,-1.68642,-1.2696
9.60826,-1.66725,-1.36542
9.58431,-2.00981,-1.22649
9.60108,-2.38111,-0.982146
9.72804,-2.61107,-1.36782
9.54359,-2.47932,-1.08994
9.72325,-2.85301,-0.907886
9.49328,-2.93925,-1.08036
9.10042,-3.01591,-0.996519
9.2729,-3.31295,-1.00371
8.89681,-3.16203,-1.37021
9.01419,-2.76199,-1.82056
9.42381,-2.80031,-1.59778
9.62743,-2.57753,-2.15833
10.0682,-2.38829,-2.28289
10.4179,-2.54639,-2.48651
11.024,-2.33799,-2.58712
11.8385,-2.32841,-3.08777
11.9846,-2.52483,-3.08298
11.7163,-2.40266,-3.40637
11.8025,-2.48172,-3.53573
11.0072,-3.14526,-2.96321
10.4131,-3.69862,-3.09496
9.89812,-3.22431,-4.22802
9.36872,-3.97889,-3.51417
7.13613,-4.32384,-3.53333
4.83647,-4.70472,-2.97518
3.15964,-6.23543,-3.17401
